baseProduct,brandName,code,crossedPrice,name,price,priceToCrossedPrice
METVI_KIKA,Kika Vargas,FUAE870993D,2850,Metvi Statement Sleeves Dress,570,0.2
NM23RSST01178_NHKA,Nanushka,FUAE869975D,1650,Sadi Shorts,330,0.2
MG069Y_ALLS,AllSaints,UPV1065143,300,Direction Crew T-Shirt,120,0.4
WS018V_ALLS,SKIRT,UPV1043800,860,Phia Snake Maxi Skirt,340,0.3953488372093023
MS094Z_ALLS,AllSaints,UPV1134552,645,Runaway Metal Collar Tip Short Sleeve Shirt,255,0.3953488372093023
MS250Z_ALLS,AllSaints,UPV1134335,535,Bow Heart Print Relaxed Fit Shirt,210,0.3925233644859813
23MTOK07_AYAQ,Andrea Ya'aqov,UPV1125620,1600,Regular Fit Long Sleeve Shirt,320,0.2
92PH113811622_CORL,Corneliani,UPV1131969,1500,2 Chest Pockets Oxford Shirt,375,0.25
2363046_ATLE,Altea,UPV1131906,900,Brisbane Pants,180,0.2
ABC123FW23POH_ABC,Advisory Board Crystals ,UPV1133535,1000,Logo Hoodie,200,0.2
00345CD01_NEUS,Neous,UPV1199013,2800,Shamali Jewel Crepe De Chine Sling Back Sandal,560,0.2
00012N26T02_NEUS,Neous,UPV1199250,2140,Chost Leather And Pvc Sandals,425,0.1985981308411215
NW23PFTP01542_NHKA,Nanushka,UPV1124939,1700,Neline Halter Neck Top,340,0.2
WD096Z_ALLS,AllSaints,UPV1126271,860,Katlyn Funnel Neck Lace Maxi Dress,430,0.5
ME005Z_ALLS,AllSaints,UPV1124577,595,Cigarette Skinny Fit Stretch Denim Jeans,295,0.4957983193277311
NL-A002-051_DGAR,COMME des GARCONS GIRL,UPV1126404,2950,Jumper Skirt,735,0.24915254237288137
MD109E_ALLS,AllSaints,UPV1095592,175,Tonic Crew Neck Slim Ramskull T-Shirt,85,0.4857142857142857
ACWMSH114_ACWL,A-Cold-Wall,UPV1107406,2300,Diamond Monogram Short Sleeve Shirt,460,0.2
DK11TA_DKMA,David Koma,UPV1110286,4250,Square Neckline Long Sleeves Cropped Top,850,0.2
DK59S_DKMA,David Koma,UPV1110227,2400,Side Cutout Mini Skirt,480,0.2
AFMW004MPLT_KJOY,Khrisjoy,UPV1112187,13000,Puff Khris Night Sequins Cropped Bomber Jacket,3250,0.25
23023392_CHEB,Christopher Esber,UPV1105742,2700,Open Twist Spliced Column Dress,540,0.2
23023454_CHEB,Christopher Esber,UPV1105708,5300,Comosum Clash Shirt Dress,1060,0.2
23024482_CHEB,Christopher Esber,UPV1105695,2900,Triquetra Gathered Skirt,580,0.2
30980514_SRCH,Simone Rocha,UPV1104382,1900,Elasticated Slip Midi Skirt,380,0.2
23036021_CHEB,Christopher Esber,UPV1105691,4650,Triquetra One Button Blazer,930,0.2
PF23087SK231_GIMO,Giuseppe Di Morabito,UPV1113080,5350,Rhinestone Mesh Midi Skirt,1070,0.2
PF23092LDF228_GIMO,Giuseppe Di Morabito,UPV1113014,3700,Jersey Rosette Detail Strapless Gown,740,0.2
A01065725_PHIL,Philosophy,UPV1108923,2300,Sequin Midi Skirt,460,0.2
PF23193TOC212_GIMO,Giuseppe Di Morabito,UPV1113045,4200,Rhinestone Bustier Top,840,0.2
PF23249KN264_GIMO,Giuseppe Di Morabito,UPV1112979,2000,Crystal Rope Detail Knit Mini Skirt,400,0.2
PF23314DRF243_GIMO,Giuseppe Di Morabito,UPV1113053,4100,Jersey Draped Detail Long Sleeve Mini Dress,820,0.2
PF23321DRF228_GIMO,Giuseppe Di Morabito,UPV1113015,2900,Jersey Rosette Detail Long Sleeve Mini Dress,580,0.2
ACWMW081_ACWL,A-Cold-Wall,UPV1107447,1450,Essential Hoodie,290,0.2
PRE23DR0331CTN_MRQS,Marques Almeida,UPV1113308,2200,Open Back Sleeveless Cutout Dress,660,0.3
PRE23KN0144LWK_MRQS,Marques Almeida,UPV1113368,2100,Feather Detail Knitted Fitted Cardigan,630,0.3
PRE23SK0163SQN_MRQS,Marques Almeida,UPV1113345,2050,Sequin Feather Hem Mini Skirt,615,0.3
PRE23TP0516SQN_MRQS,Marques Almeida,UPV1113279,1700,Sequin Slip Feather Hem Top,425,0.25
PRE23TR0097LTH_MRQS,Marques Almeida,UPV1113281,6600,Multi Color Biker Trousers,1980,0.3
PRE23TR0221DNW_MRQS,Marques Almeida,UPV1113294,3150,Drill Multipacket Cargo Jeans,945,0.3
A04365749_PHIL,Philosophy,UPV1108962,4300,Printed Tulle Long Sleeve Mini Dress,860,0.2
2289214_KHTE,Khaite,UPV1115001,2500,Axell Linen Silk Top,500,0.2
HF23K18964_HLSY,Hellessy,UPV1110093,3450,Bruno Embellished Sweater,690,0.2
FW23270KN276_GIMO,Giuseppe Di Morabito,UPV1113023,3100,One Sleeve Embellished Side Slit Maxi Dress,620,0.2
369000115_MRKT,Market,UPV1119743,625,Near Sighted Shirt,125,0.2
35424E02R236509_424,424,UPV1117686,1160,Long Sleeve Over Shirt,230,0.19827586206896552
DK24D_DKMA,David Koma,UPV1110284,7650,Big Crystal Buckle Open Leg Midi Dress,1530,0.2
DK46D_DKMA,David Koma,UPV1110252,6650,Bra Detail Sequin Mini Dress,1330,0.2
DK90D_DKMA,David Koma,UPV1110228,7650,Crystal Cylinder Embroidered Long Sleeve Mini Dress,1530,0.2
U996TG_NEWB,New Balance,UPV1104989,0,996 Teddy Santis Low Top Sneakers,175,0
PF23093LD243_GIMO,Giuseppe Di Morabito,UPV1113051,4800,Jersey Long Sleeve Gown,960,0.2
PF23253KN262_GIMO,Giuseppe Di Morabito,UPV1113040,2450,Roses Jacquard Knit Mini Skirt,490,0.2
PF23315DRRS212_GIMO,Giuseppe Di Morabito,UPV1113029,4800,Rhinestone Rose Tank Mini Dress,960,0.2
388001123_MRKT,Market,UPV1119597,750,Boosted Club Corduroy Pants,150,0.2
A-03-3275-000_ANBG,Anine Bing,UPV1114568,1550,Lyra Wide Leg Trousers,310,0.2
012352_ERES,Eres,UPV1117596,2350,Funny One Piece Swimsuit,470,0.2
53544071_KHTE,Khaite,UPV1114961,4750,Fabia Silk Crepe Midi Dress,950,0.2
WD224Y_ALLS,AllSaints,UPV1109460,1080,Jemille Lucia Silk Blend Mini Dress,430,0.39814814814814814
IP7688_Y-3,Y-3,UPV1116431,860,Cuffed Pants,170,0.19767441860465115
IP7919_Y-3,Y-3,UPV1116425,860,Straight Pants,170,0.19767441860465115
OW05AKTARB_QSMI,Qasimi,UPV1110190,2350,Aktar Harrington Jacket,470,0.2
231BY1803_ALVA,Alexandre Vauthier,FUA0037630D,3910,Ring Detail V-Neck Bodysuit,780,0.19948849104859334
231DR1825_ALVA,Alexandre Vauthier,FUA0037641D,7290,Polka Dot Bustier Mini Dress,1455,0.19958847736625515
231DR1854_ALVA,Alexandre Vauthier,FUA0037649D,6980,Ring Detail Midi Dress,1395,0.1998567335243553
18AA7910451_CRVN,Caravana,FUA0039632D,1650,Pakkun Jumpsuit,330,0.2
22041060_CHEB,Christopher Esber,FUA0037620D,1580,Cowl Draped Top,315,0.19936708860759494
12617_AGBE,Agua by Agua Bendita,FUA0039498D,2240,Limon One Piece Swimsuit,445,0.19866071428571427
2512279_FPCS,Filling Pieces,FUA0039846D,925,Low Top Ripple Suede Sneakers,275,0.2972972972972973
3540MP10237500_MSGM,MSGM,FUA0040113D,1500,Straight Cargo Pants,300,0.2
3540MP500237799_MSGM,MSGM,FUA0040130D,850,Logo Sweatpants,170,0.2
65AA11220210_CRVN,Caravana,FUA0040518D,1550,Charki Mini Dress,310,0.2
149_23_DESI,De Siena,FUA0037558D,1060,Kenya Recycled Flip Flop Sole Sandals,315,0.2971698113207547
INC040DUS_COOL,Its Now Cool,FUA0042809D,465,The String Pant Bikini Bottom,90,0.1935483870967742
GW4365_ADDS,Adidas by Stella McCartney,FUA0042610D,650,Clog Slides,130,0.2
IKI25BLAW_BUDH,Iki Buddha Pop,FUA0042793D,0,Buddha Iki Glossy Statue,555,0
MBST_ARBL,Arabella,FUA0037993D,945,The Modern Bustier Bra,185,0.19576719576719576
R22935SC_MILS,Michael Lo Sordo,FUA0038106D,4380,V-Neck Bias Slip Dress,875,0.1997716894977169
R22985SC_MILS,Michael Lo Sordo,FUA0038107D,4380,Charlie Bias Halter Dress,875,0.1997716894977169
S0294_CINC,Cin Cin,FUA0044446D,525,Cruise Hoop Classic Bottoms,105,0.2
S0301_CINC,Cin Cin,FUA0044451D,775,Disco Hoop Cutout Swimsuit,155,0.2
S0302_CINC,Cin Cin,FUA0044452D,540,Martini Gathered Mini-Skirt,105,0.19444444444444445
S0311_CINC,Cin Cin,FUA0044460D,525,Locket Bandeau Top,105,0.2
S0318_CINC,Cin Cin,FUA0044466D,445,Mid-Summer String Bottoms,85,0.19101123595505617
D311CTM_WAIM,Waimari,FUA0041750D,1740,Jane Maxi Dress,345,0.19827586206896552
HCFBMA_ARBL,Arabella,FUA0037860D,340,The High Cut French Brief,65,0.19117647058823528
S0249_CINC,Cin Cin,FUAE869581D,470,Quantum Layered Bikini Top,90,0.19148936170212766
S0250_CINC,Cin Cin,FUAE869583D,525,Phenomena Layered Bikini Bottom,105,0.2
S0251_CINC,Cin Cin,FUAE869601D,775,Spectacle Cut-Out Swimsuit,155,0.2
IKI40MUL_BUDH,Iki Buddha Pop,FUA0042798D,0,Buddha Iki Multicolour Statue,1260,0
231BY1605_ALVA,Alexandre Vauthier,FUA0037626D,2860,Metallic Bodysuit,570,0.1993006993006993
231DR1823_ALVA,Alexandre Vauthier,FUA0037637D,6660,Polka Dot Bustier Midi Dress,1330,0.1996996996996997
231DR1857_ALVA,Alexandre Vauthier,FUA0037653D,5600,Metallic Jersey Sleeveless Midi Dress,1120,0.2
1052_CACA,Cara Cara,FUA0039324D,2250,Nadia Dress,450,0.2
1012779_FPCS,Filling Pieces,FUA0037600D,1000,Low Top Sneakers,300,0.3
12613_AGBE,Agua by Agua Bendita,FUA0039489D,1120,Remedios One Piece Swimsuit,220,0.19642857142857142
12575_AGBE,Agua by Agua Bendita,FUA0039482D,1470,Nopal Bikini Bottoms,290,0.19727891156462585
152_23_DESI,De Siena,FUA0037567D,1030,Lamu Recycled Flip Flop Sole Sandals,305,0.2961165048543689
536523_MGBT,Magda Butrym,FUA0040434D,4800,Flower Detail Ankle Wrap Platform Sandals,1440,0.3
215_CACA,Cara Cara,FUA0039688D,1835,Nathali Skirt,365,0.1989100817438692
BM22003011MS_BLUM,Bluemint,FUA0041313D,590,Arthus Swim Shorts,115,0.19491525423728814
BM22003131MS_BLUM,Bluemint,FUA0041318D,590,ARTHUS STRETCH SWIM SHORT,145,0.2457627118644068
FIGUEROA_BONN,Bonnie & Clyde,FUA0042326D,0,Large flat hexagonal aviators sunglasses,210,0
DPS23BL07056431_JEJI,Jejia,FUA0037923D,3200,Charlotte Blazer,640,0.2
INC133HEA_COOL,Its Now Cool,FUA0042820D,465,The String Pant Bikini Bottom,90,0.1935483870967742
LMH786_FRME,Frame,FUA0038003D,1050,Straight Leg Slim Pants,315,0.3
DRE023A_MMKT,Mira Mikati,FUA0041909D,2880,Iered Strappy Dress With Flower Buttons,575,0.1996527777777778
S59WR0087_MM6,MM6 Maison Margiela,FUA0045445D,2010,Chuncky Slip On,600,0.29850746268656714
M736A1401_AGDC,Agua De Coco,FUA0037966D,1315,Orchid Duo Square Neckline One Piece Swimsuit,260,0.19771863117870722
LRBVB_ARBL,Arabella,FUA0038020D,340,The Seamless Low Rise Brief,65,0.19117647058823528
NW23BCBI00516_NHKA,Nanushka,FUA0038137D,680,Zaida Bikini Top,135,0.19852941176470587
S0293_CINC,Cin Cin,FUA0044442D,525,Locket Bandeau Top,105,0.2
S0312_CINC,Cin Cin,FUA0044463D,525,Cruise Hoop Classic Bottoms,105,0.2
BB2VB_ARBL,Arabella,FUA0037798D,1495,The Bustier Bodysuit,295,0.19732441471571907
BB4ST_ARBL,Arabella,FUA0037804D,485,The Belted Brief,95,0.1958762886597938
67_23_DESI,De Siena,FUA0037720D,830,Bandana Slippers,245,0.29518072289156627
HWBMA_ARBL,Arabella,FUA0037863D,390,The Sculpting High Waist Brief,75,0.19230769230769232
23MBEL52_AYAQ,Andrea Ya'aqov,FUAE864713D,1200,Knee Length Casual Shorts,240,0.2
23MOPE29_AYAQ,Andrea Ya'aqov,FUAE864896D,1400,Knee Length Casual Shorts,280,0.2
23MOPE29T_AYAQ,Andrea Ya'aqov,FUAE864947D,1550,Knee Length Casual Shorts,310,0.2
2303T13236_AREA,Area,FUAE862546D,3650,Heart Bib Tuxedo Shirt,730,0.2
CF006KN034_CFCL,CFCL,FUAE867321D,1350,Cupro Garter T-Shirt,270,0.2
CCL105STNFW23_GDBE,Gedebe,FUAE866981D,2700,Cecile Crystal Bow High Heel Sandals,810,0.3
COGAMH12554_APC,A.P.C,FUAE868803D,825,X Liberty Ellie Coord Shirt,165,0.2
LGNBTFW23_GDBE,Gedebe,FUAE867554D,3700,Logan Crystal High Heel Stretch Bootie,1110,0.3
MRTWMBOT060_SUNN,Sunnei,FUAE864612D,1800,Cotton Knee Length Shorts,360,0.2
LOW23SMTR020PP_LWCL,Low Classic,FUAE869071D,1800,Deep Tuck Trousers,360,0.2
P3WE10_ERCA,Erika Cavallini,FUAE863046D,1500,Wool V-neck Sweater,375,0.25
U123EC5279_TIBI,Tibi,FUAE866503D,1450,Eco Poplin Double Layer Mini Skirt,290,0.2
U123EC7783_TIBI,Tibi,FUAE866544D,1300,Eco Poplin Strappy Top,260,0.2
S0242_CINC,Cin Cin,FUAE869454D,430,Isle Hoop Bikini Top,85,0.19767441860465115
S0243_CINC,Cin Cin,FUAE869474D,450,Cove Hoop Bikini Bottoms,90,0.2
S0245_CINC,Cin Cin,FUAE869515D,525,Cruise Hoop Bikini Bottoms,105,0.2
SAMS016901_MRNI,Marni,FUAE865710D,3150,Metallic Fisherman Sandals,945,0.3
SAW23SHGRECOLEC_SMFG,STORY MFG,FUAE868170D,2150,Greetings Shirt,430,0.2
SAW23TRLUCSLUIR_SMFG,STORY MFG,FUAE868293D,2000,Lush Carpenter Pants,400,0.2
SAW23TRLUPSLUSC_SMFG,STORY MFG,FUAE868327D,2100,Lush Pants,420,0.2
SAW23TSGRACOTBK_SMFG,STORY MFG,FUAE868369D,525,Be Kind T-Shirt,105,0.2
TWWSKR021COT035_SUNN,Sunnei,FUAE866238D,2350,Cotton Drill Midi Skirt,470,0.2
P3WH05_ERCA,Erika Cavallini,FUAE863153D,1550,Wool Gabardine Straight Leg Trousers,385,0.24838709677419354
P3WJ02_ERCA,Erika Cavallini,FUAE863221D,1400,Poplin Knot Detail Long Sleeve Shirt,350,0.25
P3WL01_ERCA,Erika Cavallini,FUAE863275D,1500,Chiffon Long Sleeve Shirt,375,0.25
P3WR03_ERCA,Erika Cavallini,FUAE863457D,2050,Cady Midi Skirt With Fringe Belt,510,0.24878048780487805
P3WS05_ERCA,Erika Cavallini,FUAE863530D,1450,Peach Twill Wide Leg Trousers,360,0.2482758620689655
P3WT09_ERCA,Erika Cavallini,FUAE863595D,2200,Crepe De Chine Round Neck Midi Dress,550,0.25
CCL85STNFW23_GDBE,Gedebe,FUAE867030D,2700,Cecile Satin Crystal Bow High Heels Sandal,810,0.3
191423_MGBT,Magda Butrym,FUAE856253D,3700,Flared Trousers,740,0.2
1553D_ALIS,Alemais,FUAE854456D,5000,Leonard Fringed Gown,1000,0.2
517423_MGBT,Magda Butrym,FUAE854151D,3250,Crystal Mule,975,0.3
523JJU105JS0088_COES,Courreges,FUAE854393D,1300,2Nd Skin Tube Skirt,260,0.2
516423_MGBT,Magda Butrym,FUAE854109D,3250,Crystal Mule,975,0.3
5533359_FPCS,Filling Pieces,FUAE855104D,1100,Mid Ace Skyline Sneakers,330,0.3
654523_MGBT,Magda Butrym,FUAE856278D,1300,Flower Detail Printed Swimming Bra,260,0.2
HP2815_ADDS,Adidas,FUAE854989D,550,Astir Sneakers,110,0.2
FZ5811_ADDS,Adidas,FUAE851298D,649,Streetball III Sneakers,125,0.1926040061633282
S23MCHN701_OFFG,Officine Generale,FUAE852256D,1100,Owen Pants,220,0.2
S59WS0193_MM6,MM6 Maison Margiela,FUA0045450D,1775,Suede Low Top Sneakers,530,0.29859154929577464
NUW23302_IHNO,IH NOM UH NIT,FUAE852362D,2300,Mission Cargo Fleece Pants,460,0.2
VLSTNFW23_GDBE,Gedebe,FUAE856418D,2700,Viola Satin Crystal Wrap High Heel Pumps,810,0.3
S3PP3SW20_ERCA,Erika Cavallini,FUAE855613D,950,Ketty Double Belt,190,0.2
S3PP3SY01_ERCA,Erika Cavallini,FUAE855648D,2050,Padded Pipe Mid Heel Mules,615,0.3
STEFFI_KIKA,Kika Vargas,FUAE851973D,2450,Steffi Oversized Short Sleeves Shirt,490,0.2
WE63GM400P_VTMN,Vetements,FUA0046416D,7350,Diva Mini Styling Dress With Gloves,1470,0.2
POSHOVERPANTPOC_XCPT,X Concept,FUAE855829D,750,Posh Over Harem Poch Pants,150,0.2
GRUNGEHUNTOVER_XCPT,X Concept,FUAE853105D,900,Grunge Hunt Over Zip Shirt,180,0.2
2301SK002_NUE,NUE,FUAE862019D,3350,Venus Maxi Cutout Skirt,670,0.2
22W10SA0014749_THMU,Mugler,FUAE861911D,6700,Metallic Spiral Medium Bag,2010,0.3
23012008_CHEB,Christopher Esber,FUAE861914D,2300,Maverick Denim Bodice Shirt,460,0.2
2303D12171_AREA,Area,FUAE862294D,5300,Butterfly Crystal Embellished Mini Dress,1060,0.2
2303J13235_AREA,Area,FUAE862368D,11000,Distressed Crystal Embellished Trench Coat,2200,0.2
8912887_FPCS,Filling Pieces,FUAE857484D,1000,Court Strata Sneaker,300,0.3
ACWMB191_ACWL,A-Cold-Wall,FUAE860753D,1650,Overset Tech Shorts,330,0.2
AMANDA_KIKA,Kika Vargas,FUAE860962D,2700,Amanda Wrap Top,540,0.2
JC0772NUBLTCWS_JECH,Jennifer Chamandi,FUAE860534D,2700,Giuseppe 85 Nappa Mule,810,0.3
JC0796BLWS_JECH,Jennifer Chamandi,FUAE860652D,4100,Roberto Satin Strass Platform Sandals,1230,0.3
JAY10STNFW23_GDBE,Gedebe,FUAE860188D,2850,Jay Satin Crystal Toe High Heel Pumps,855,0.3
HS23D285-61_HLSY,Hellessy,FUAE858969D,6600,Cressida Mikado Off Shoulder Mini Dress,1320,0.2
A-02-1391-000_ANBG,Anine Bing,FUAE858649D,1200,Dione Cutout Dress,240,0.2
A02900417_AFRT,Alberta Ferretti,FUAE858721D,5900,One Shoulder Back Detail Maxi Dress,1180,0.2
KK4223PL911001_NOKA,Norma Kamali,FUAE859337D,1400,Slinky Below The Knee Dress,280,0.2
KL741_KIDL,KIDILL,FUAE859464D,2900,Oversized Denim Shirt,725,0.25
KL778_KIDL,KIDILL,FUAE859625D,2650,Zip Short Pants Dry Twill,660,0.2490566037735849
RAMYA_KIKA,Kika Vargas,FUAE858010D,3300,Ramya A Line Midi Dress,660,0.2
RASHAXDENISE_BOKJ,Bokja,FUAE858037D,3800,Rasha X Denise Bokja Robe,760,0.2
R6CA274_ROKH,Rokh,FUAE857926D,2800,Mini Pleated Detail Dress,560,0.2
R1CA84_ROKH,Rokh,FUAE857146D,2100,Two Tone Detailed Trousers,420,0.2
PS40031A_PRNZ,Proenza Schouler,FUAE857127D,2300,Spike Mules,690,0.3
PS40052A_PRNZ,Proenza Schouler,FUAE857205D,2450,Forma Platform Sandals,735,0.3
PS40062A_PRNZ,Proenza Schouler,FUAE857313D,2700,Square Toe High Heel Sandals,810,0.3
PS23142TOP227_GIMO,Giuseppe Di Morabito,FUAE856580D,2700,Sequins And Feather Top,540,0.2
PS23287DRC224_GIMO,Giuseppe Di Morabito,FUAE856847D,4600,Side slit Midi Dress,920,0.2
SP460_LISA,Lisa Marie Fernandez,FUAE862324D,3400,Beach Cape Maxi Dress,680,0.2
23014024_CHEB,Christopher Esber,FUAE861967D,2950,Tulle Overlay Maxi Skirt,590,0.2
SP432_LISA,Lisa Marie Fernandez,FUAE862266D,1650,Balconette Low-Waist Bikini Set,330,0.2
SP446_LISA,Lisa Marie Fernandez,FUAE862315D,2300,Maria Maillot One Piece Swimsuit,460,0.2
JC0793NUWS_JECH,Jennifer Chamandi,FUAE860590D,3300,Tommaso Satin Strass Sandals,990,0.3
IVYSS23008N_BTNA,Bettina Vermillon,FUAE860002D,1650,Ivy Ankle Wrap Strappy Sandals,330,0.2
JC0704SIPVCWS_JECH,Jennifer Chamandi,FUAE860296D,2800,Vittorio Reflex Pvc Slingback Pumps,840,0.3
JC0704TANTPVCWS_JECH,Jennifer Chamandi,FUAE860300D,2800,Vittorio Patent Pvc Slingback Pumps,840,0.3
SNZU014501_MRNI,Marni,FUAE861768D,2750,Marni X No Vacancy Inn Dada Low Top Sneakers,825,0.3
SNZW003020_MRNI,Marni,FUAE861801D,2700,Low Top Sneakers,810,0.3
12007123100_APL,APL,FUAE858302D,850,Techloom Breeze Sneakers,255,0.3
7-1307_STUD,Staud,FUAE856524D,2000,Leanne Lucite Heel Sandals,600,0.3
PS23176TO225_GIMO,Giuseppe Di Morabito,FUAE856659D,2600,Off Shoulder Draped Top,520,0.2
PS23082LD224_GIMO,Giuseppe Di Morabito,FUAE856533D,4800,Shell Detail Maxi Dress,960,0.2
11953_AGBE,Agua by Agua Bendita,FUAE851817D,1125,Sandalo Chivas One Piece Swimsuit,225,0.2
518423_MGBT,Magda Butrym,FUAE854219D,3450,Flower Detail Mules,1035,0.3
5609876_FPCS,Filling Pieces,FUAE855112D,1200,Pace Radar Sneakers,360,0.3
NUW23222_IHNO,IH NOM UH NIT,FUAE852193D,1150,College Logo Crew Neck T-Shirt,230,0.2
NUW23311_IHNO,IH NOM UH NIT,FUAE852427D,1400,Logo Sweatpants,280,0.2
12011123101_APL,APL,FUAE858989D,975,Techloom Tracer Sneakers,290,0.29743589743589743
12013123626_APL,APL,FUAE859697D,1225,Zipline Sneakers,365,0.2979591836734694
12126_AGBE,Agua by Agua Bendita,FUAE860128D,550,Jengibre Oasis Printed Bikini Bottoms,110,0.2
811721_MGBT,Magda Butrym,FUAE856915D,1650,Black Swim Bottoms,330,0.2
629523_MGBT,Magda Butrym,FUAE856191D,1450,Animal Print Swim Skirt,290,0.2
HR23T230-44_HLSY,Hellessy,FUAE858446D,3200,Blossom Bustier,640,0.2
KK222SPL287001_NOKA,Norma Kamali,FUAE859311D,850,Diana Long Skirt,170,0.2
PS23-21815PAEHS_ERDM,Erdem,FUAE856782D,7000,Maxene V-Neck Midi Dress,1400,0.2
PS23288DRP227_GIMO,Giuseppe Di Morabito,FUAE856879D,4100,Sequins With Feather Detail Dress,820,0.2
12051_AGBE,Agua by Agua Bendita,FUAE859987D,1250,Nopal Palma Printed Bikini Bottoms,250,0.2
1402D_ALIS,Alemais,FUAE853507D,2150,Cassandra Cut Out Midi Dress,430,0.2
11947_AGBE,Agua by Agua Bendita,FUAE851753D,2025,Azul Geometrico One Piece Swimsuit,405,0.2
123CBR018PL0007_COES,Courreges,FUAE851437D,1200,Suspenders Crop Top,240,0.2
483-3605_STUD,Staud,FUAE853195D,1150,Jasmin Beaded Crop Top,230,0.2
S59WS0190_MM6,MM6 Maison Margiela,FUA0045448D,2155,Chunky Sneakers,645,0.29930394431554525
NUW23225_IHNO,IH NOM UH NIT,FUAE852238D,850,Varsity Sport Logo T-Shirt,170,0.2
NUW23252_IHNO,IH NOM UH NIT,FUAE852320D,1400,Chicago Crew Neck T-Shirt,280,0.2
UE63JA200YW_VTMN,Vetements,FUA0046242D,5750,Fleece Zip-Up Jacket,1150,0.2
WL2326157_PRWL,Proenza White Label,FUAE854683D,1950,Drapey Suiting Wide Leg Pants,390,0.2
